Author Last,Author First,Title,Year Published,Genre,Read?,Number of Pages,BOTM,Aardvark,more than 1 copy?,tbr?,rating
Book of the Month,,"Volume 0, Issue None",2024,fiction,n,150,,,,y,
Boulanger,Clare L.,Reflecting on America: Anthropological Views of U.S. Culture,2008,anthropology,y,221,,,,,4
Boyne,John,A Ladder to the Sky,2018,historical fiction,n,362,y,,,,
Boyne,John,The Heart's Invisible Furies,2017,historical fiction,y,580,y,,,,10
Bradbury,Ray,Fahrenheit 451,1953,fiction,y,190,,,,,9
Bradley,Kaliane,The Ministry of Time,2024,science fiction,n,339,y,,,y,
Brass,W.,Biological Aspects of Demography,1971,demography,n,167,,,,,
Bray,Libba,A Great and Terrible Beauty,2003,fantasy,y,403,,,,,7
Brennan,Sarah Rees,Long Live Evil,2024,fantasy,n,452,,,,y,
"Bricker, Ibbitson","Darrell, John",Empty Planet: The Shock of Global Population Decline,2019,demography,n,288,,,,,
Broder,Melissa,Death Valley,2023,magical realism,n,232,,y,,y,
Brody,Saul Nathaniel,The Disease of the Soul: Leprosy in Medieval Literature,1974,non-fiction,n,223,,,,y,
Brom,,Slewfoot: A Tale of Bewitchery,2021,horror,n,305,,,,y,
Brontë,Emily,Wuthering Heights,1847,fantasy,n,352,,,y,y,
Brontë,Emily,Wuthering Heights,1847,fiction,n,353,,,y,,
Brontë,Charlotte,Jane Eyre,1847,fiction,y,458,,,y,,10
Brontë,Charlotte,Jane Eyre,1847,fiction,y,493,,,y,,10
Brown,Dan,Angels & Demons,2000,thriller,y,710,,,,,8
Brown,Dan,The Da Vinci Code,2003,thriller,y,454,,,,,8
Brown,Dan,The Lost Symbol,2009,thriller,y,639,,,,,7
Brown,Dan,Inferno,2013,thriller,y,461,,,,,8
Brusatte,Steve,The Rise and Fall of the Dinosaurs: A New History of a Lost World,2016,history,n,404,,,,,
Bryson,Bill,The Body: A Guide for Occupants,2019,non-fiction,n,450,,,,,
Burroughs,Augusten,Running With Scissors,2002,memoir,y,331,,,,,6
Burroughs,Augusten,A Wolf at the Table,2008,memoir,y,251,,,,,8
Buss,David M.,The Evolution of Desire: Strategies of Human Mating,1994,non-fiction,n,354,,,,,
Butler,Octavia E.,Fledgling,2005,fantasy,n,336,,,,y,
Callender,Kacen,Infinity Alchemist,2024,young adult fantasy,n,385,,,,y,
Campanella,Tommaso,The City of the Sun,1623,fiction,n,72,,,,y,
Camus,Albert,The Plague,1947,fiction,n,337,,,,y,
Carlson,Richard,Don't Sweat the Small Stuff... and it's all the small stuff,1997,self help,n,248,,,,,
Casati,Costanza,Clytemnestra,2023,myth retelling,y,434,y,,,,9
Cathrall,Sylvie,A Letter to the Luminous Deep,2024,fantasy,in progress,391,,,,y,
Caton,Steven C.,Yemen Chronicle: An Anthropology of War and Mediation,2005,anthropology,y,314,,,,,5
Center,Katherine,How to Walk Away,2018,fiction,y,302,y,,,,2
Chang,K-Ming,Organ Meats,2023,fantasy,n,268,,,,y,
"Chao, Bolender, Kirksey","Sophie, Karin, Eben",The Promise of Multispecies Justice,2022,anthropology,n,284,,,,,
Chavez,Leo R.,"The Latino Threat: Constructing Immigrants, Citizens, and the Nation",2008,anthropology,y,297,,,,,7
Choo,Yangsze,The Fox Wife,2024,fiction,n,389,y,,,y,
Chopin,Kate,The Awakening,1899,fiction,y,210,,,,,8
Christie,Agatha,And Then There Were None,1939,fiction,n,247,,,,y,
Clancy,Kate,Period: The Real Story of Menstruation,2023,anthropology,n,294,,,,,
Clarke,Susanna,Piranesi,2020,fantasy,y,245,y,,,,8
Cline,Emma,The Girls,2016,fiction,y,355,y,,,,5
Coates,Ta-Nehisi,The Water Dancer,2019,historical fiction,y,403,y,,,,7
Coelho,Paulo,The Alchemist,1988,fiction,y,197,,,,,10
Collins,Suzanne,Catching Fire,2009,science fiction,y,391,,,,,9
Collins,Suzanne,Mockingjay,2010,science fiction,y,388,,,,,7
Conniff,Richard,Ending Epidemics: A History of Escape from Contagion,2023,science,y,351,,,,,8
Conrad,Joseph,Heart of Darkness,1899,fiction,y,218,,,,,7
"Controy, Pontzer","Glenn C., Herman",Reconstructing Human Origins: A Modern Synthesis,2012,anthropology,y,732,,,,,5
Cooney,C.S.E.,Saint Death's Daughter,2022,fantasy,n,646,,,,y,
Cooper,James Fenimore,The Last of the Mohicans,1826,fiction,n,407,,,,,
Cousens,Sophie,This Time Next Year,2020,fiction,y,332,y,,,,5
Crace,Jim,The Gift of Stones,1998,fiction,n,170,,,,,
"Cranor, Matthewson","Jeffrey, Janina",You Feel it Just Below the Ribs,2021,science fiction,y,371,,,,,8
Crawford,Dorothy H.,The Invisible Enemy: A Natural History of Viruses,2000,science,y,275,,,,,7
Crawford,Dorothy H.,Deadly Companions: How Microbes Shaped Our History,2007,science,y,250,,,,,8
Crawford,Dorothy H.,Viruses: A Very Short Introduction,2011,science,y,156,,,,,7
Cronin,Justin,The Passage,2010,thriller,n,781,,,,,
Crosby,Alfred W.,"Ecological Imperialism: The Biological Expansion of Europe, 900-1900",1986,science,n,368,,,,,
Crosby,Alfred W.,America's Forgotten Pandemic: The Influenza of 1918,1989,history,y,337,,,,,7
Crouch,Blake,Dark Matter,2016,science fiction,y,340,y,,,,10
Crouch,Blake,Recursion,2019,science fiction,y,326,y,,,,9
Crouch,Blake,Upgrade,2022,science fiction,y,337,y,,,,8
Curtis,Christopher Paul,"Bud, not Buddy",1999,fiction,y,243,,,,,7
Dabos,Christelle,The Missing of Clairdelune,2015,fantasy,dnf,511,,,,y,
Dabos,Christelle,The Memory of Babel,2017,fantasy,n,447,,,,y,
Dabos,Christelle,The Storm of Echoes,2019,fantasy,n,540,,,,y,
Dabos,Christelle,A Winter's Promise,2013,fantasy,y,491,,,,,7
Dahl,Roald,Charlie and the Chocolate Factory,1964,fiction,y,155,,,,,7
Dahl,Roald,The BFG,1982,fiction,y,208,,,,,
Dahl,Roald,Matilda,1988,fiction,y,240,,,,,8
Darling,Olivia Rose,Fear the Flames,2022,fantasy,n,373,,,,y,
Darwin,Charles,The Voyage of the Beagle,1839,nature,n,524,,,,,
Darwin,Charles,The Origin of Species,1859,science,n,444,,,,,
Darwin,Charles,The Descent of Man,1871,science,n,492,,,,,
DeLuca,Jen,Well Met,2019,fiction,n,320,y,,,,
"DeVita, Armstrong","Philip R., James D.",Distant Mirrors: America as a Foreign Culture,1993,anthropology,n,145,,,,,
di Lampedusa,Giuseppe,The Leopard,1960,fiction,dnf,294,,,,,
Diacon-Furtado,Quinn,The Lilies,2024,fantasy,n,325,,,,y,
Diamond,Jared,"Guns, Germs, and Steel",1997,history,dnf,518,,,,,
DiCamillo,Kate,The Tale of Despereaux,2003,fantasy,n,269,,,,,
Dietrich,Cale,The Love Interest,2017,science fiction,y,377,y,,,,4
Doerr,Anthony,All the Light We Cannot See,2014,historical fiction,dnf,530,,,,,
Dossey,Larry,Meaning & Medicine: Lessons from a Doctor's Tales of Breakthrough and Healing,1991,memoir,n,290,,,,,
Dostoevsky,Fyodor,Crime & Punishment,1866,fiction,dnf,537,,,y,y,
Dostoevsky,Fyodor,Crime & Punishment,1866,fiction,n,671,,,y,y,
Dostoevsky,Fyodor,The Brothers Karamazov,1879,fiction,n,722,,,,y,
Draus,Paul,Consumed in the City: Observing Tuberculosis at Century's End,2004,history,n,290,,,,,
Drews,CG,Don't Let the Forest In,2024,horror,n,327,,,,y,
Drexler,Madeline,Emerging Epidemics: The Menace of New Infections,2002,non-fiction,n,316,,,,,
du Bois,William Pène,The Twenty-One Balloons,1947,fiction,y,180,,,,,8
"Dubos, Dubos","René, Jean","The White Plague: Tuberculosis, Man, and Society",1952,history,n,277,,,,y,
Dumas,Alexandre,The Three Musketeers,1844,fiction,n,608,,,,,
Duncan,Glen,Talulla Rising,2012,fantasy,y,368,,,,,6
DuPrau,Jeanne,The City of Ember,2003,young adult science fiction,y,270,,,,,6
DuPrau,Jeanne,The People of Sparks,2004,young adult science fiction,y,338,,,,,5
Dweck,Carol S.,"Mindset, the New Psychology of Success: How we Can Learn to Fulfill Our Potential",2006,self help,n,277,,,,,
El Akkad,Omar,American War,2017,fiction,dnf,333,y,,,,
El-Arifi,Saara,Faebound,2024,fantasy,y,386,,,,,9
"El-Mohtar, Gladstone","Amal, Max",This is How You Lose the Time War,2019,science fiction,y,197,,,,,9
Ellingson,Berit,Not Dark Yet,2015,science fiction,n,209,,,,y,
Emmerichs,Sharon,Sheild Maiden,2023,fantasy,n,400,,,,y,
Engel,Patricia,Infinite Country,2021,fiction,n,191,y,,,,
Enright,K. M.,Mistress of Lies,2024,fantasy,n,454,,y,,y,
Erdrich,Louise,Future Home of the Living God,2017,science fiction,n,267,y,,,,
Erikson,Kai T.,Everything in its Path: Destruction of Community in the Buffalo Creek Flood,1976,non-fiction,n,284,,,,,
Espach,Alison,The Wedding People,2024,fiction,n,367,y,,,y,
Estes,Eleanor,Ginger Pye,1951,fiction,y,306,,,,,5
"Evengård, Larsen, Paasche","Birgitta, Joan Nymand, Øyvind",The New Arctic,2015,edited collection,y,352,,,,,8
Fabricant,Nicole,Mobilizing Bolivia's Displaced: Indigenous Politics & the Struggle Over Land,2012,anthropology,y,257,,,,,6
Fadiman,Anne,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",1997,anthropology,y,355,,,,,8
Faizal,Hafsah,A Tempest of Tea,2024,fantasy,y,338,,,,,7
Farmer,Paul,AIDS & Accusations: Haiti and the Geography of Blame,1992,anthropology,n,338,,,,,
Farmer,Paul,Infections and Inequalities: The Modern Plagues,1999,anthropology,n,375,,,,,
Farmer,Nancy,The House of the Scorpion,2002,science fiction,y,380,,,,y,9
Farmer,Paul,"Pathologies of Power: Health, Human Rights, and the New War on the Poor",2003,anthropology,y,402,,,,,8
Farmer et al.,Paul,"Reimagining Global Health, An Introduction",2013,public health,n,478,,,,,
Faulkner,William,The Sound and the Fury,1984,fiction,n,326,,,,y,
Fawcett,Heather,Emily Wilde's Map of the Otherlands,2024,fantasy,y,339,,,,y,8
Fawcett,Heather,Emily Wilde's Encyclopaedia of Faeries,2023,fantasy,y,317,,,,,8
Fenn,Elizabeth A.,Pox Americana: The Great Smallpox Epidemic of 1775-82,2001,science,n,370,,,,y,
Ferguson,James,Global Shadows: Africa in the Neoliberal World Order,2006,anthropology,n,257,,,,,
Ferris,Jean,Once Upon a Marigold,2002,fiction,y,266,,,,,7
Fforde,Jasper,Early Riser,2018,science fiction,dnf,402,y,,,,
Field,Les W.,Abalone Tales: Collaborative Explorations of Sovereignty and Identity in Native California,2008,anthropology,y,196,,,,,4
Fielding,Helen,Bridget Jones's Diary,1996,fiction,y,271,,,,,8
Finn,A.J.,The Woman in the Window,2018,thriller,y,427,y,,,,7
Fitzgerald,F. Scott,This Side of Paradise,1920,fiction,n,213,,,,,
Fitzgerald,F. Scott,The Beautiful and Damned,1922,fiction,n,384,,,,,
Fitzgerald,F. Scott,The Great Gatsby,1925,fiction,y,180,,,,,9
"Flett, Moss","Heather Gibbs, Whitney",Stuff Every Mom Should Know,2012,reference,n,143,,,,,
Fodor's Travels,,"Nova Scotia & Atlantic Canada: with New Brunswick, Prince Edward Island, and Newfoundland",2014,reference,n,326,,,,,
Foer,Jonathan Safran,Everything is Illuminated,2002,fiction,y,276,,,,,8
Foer,Jonathan Safran,Extremely Loud & Incredibly Close,2005,fiction,y,326,,,,,8
Follett,Ken,The Pillars of the Earth,1989,historical fiction,n,989,,,,y,
Forman,Gayle,If I Stay,2009,young adult fiction,y,261,,,,,6
Fortuine,Robert,"""Must We All Die?"" Alaska's Enduring Struggle with Tuberculosis",2005,history,in progress,264,,,,y,
Fortuine,Robert,Chills and Fever: Health and Disease in the Early History of Alaska,1989,history,n,393,,,,y,
Foster,Thomas C.,How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines,2003,non-fiction,y,336,,,,,7
Foster et al.,Ian,Big Data and Social Science: A Practical Guide to Methods and Tools,2017,data science,n,356,,,,,7
Frank,Anne,The Diary of a Young Girl,1947,non-fiction,y,340,,,,,8
Frazier,Kendrick,People of Chaco: A Canyon and its Culture,1986,anthropology,dnf,261,,,,,
Freudenberger,Nell,Lost and Wanted,2019,science fiction,dnf,316,y,,,,
Fried,Seth,The Municipalists,2019,,n,264,y,,,,
"Friis, Sellers","Robert H., Thomas A.",Epidemiology for Public Health Practice,2014,public health,y,804,,,,,4
Fuentes,Agustín,Why We Believe: Evolution and the Human Way of Being,2019,anthropology,y,266,,,,,6
Funke,Cornelia,The Thief Lorde,2000,fiction,y,349,,,,,6
Gabaldon,Diana,Outlander,1991,historical fiction,n,627,,,,,
Galbraith,Robert,The Cuckoo's Calling,2013,fiction,dnf,435,,,,,
Galeano,Eduardo,Open Veins of Latin America: Five Centuries of the Pillage of a Continent,1973,history,y,317,,,,,8
Garber,Stephanie,Once Upon a Broken Heart,2021,fantasy,y,416,,,,,5
Garmus,Bonnie,Lessons in Chemistry,2022,fiction,y,390,y,,,,9
Garrett,Laurie,The Coming Plague: Newly Emerging Diseases in a World Out of Balance,1994,non-fiction,n,750,,,,,
Garrett,Laurie,Betrayal of Trust: The Collapse of Global Public Health,2000,non-fiction,n,781,,,,,
Gibson,S.T.,A Dowry of Blood,2021,horror,y,310,,,,,9
Gibson,S.T.,Evocation,2024,fantasy,y,301,,y,,,7
Gibson,S.T.,An Education in Malice,2024,fantasy,y,358,,,,,9
Gillespie,John H.,Population Genetics: A Concise Guide,1998,biology,y,214,,,,,
Girma,Tigest,Immortal Dark,2024,fantasy,n,416,,,,y,
Gladwell,Malcolm,The Tipping Point: How Little Things Can Make a Big Differences,2000,non-fiction,n,301,,,,,
Gladwell,Malcolm,"David and Goliath: Underdogs, Misfits, and The Art of Battling Giants",2013,non-fiction,n,327,,,,,
"Glass, Eversley","D. V., D. E. C.",Population in History: Essays in Historical Demography: Volume II Europe and the United States,1965,journal,n,269,,,,,
Goenawan,Clarissa,Rainbirds,2018,fiction,n,322,y,,,,
Golden,Christopher,The House of Last Resort,2024,thriller,y,290,,y,,,5
Golding,William,Lord of the Flies,1954,fiction,y,208,,,,,8
Goldsby,Richard A.,Race and Races,1971,non-fiction,n,132,,,,,
Gong,Chloe,Immortal Longings,2023,fantasy,y,368,y,,,,2
"Goodman, Leatherman","Alan H., Thomas L.",Building a New Biocultural Synthesis: Political-Economic Perspectives on Human Biology,1998,anthropology,y,486,,,,,7
Goodyear-Ka'ōpua,Noelani,The Seads We Planted: Portraits of a Native Hawaiian Charter School,2013,anthropology,n,321,,,,,
Gordon,Jon,"The Energy Bus: 10 Rules to Fuel Your Life, Work, and Team with Positive Energy",2007,self help,dnf,174,,,,,
Gornichec,Genevieve,The Weaver and the Witch Queen,2023,fiction,n,424,,,,y,
Gowar,Imogen Hermes,The Mermaid and Mrs. Hancock,2018,fantasy,n,487,y,,,,
Grace,Hannah,Icebreaker,2022,fiction,y,432,,,,,3
Grace,Hannah,Wildfire,2023,fiction,y,386,,,,,4
"Graeber, Wengrow","David, David",The Dawn of Everything: A New History of Humanity,2021,non-fiction,n,692,,,,,
"Grandpre, Love","Lawrence, Dayvon",The Black Book: Reflections from the Baltimore Grassroots,2014,politics,y,209,,,,,7
"Gratton, Ireland","Tessa, Justina",Chaos & Flame,2023,fantasy,y,325,,,,,6
Gray,John,"Men are from Mars, Women are from Venus: The Classic Guide to Understanding the Opposite Sex",1992,non-fiction,n,323,,,,,
Gray,Alasdair,Poor Things,1992,science fiction,y,317,,,,,7
Green,John,Looking for Alaska,2005,fiction,y,221,,,,,
Green,John,An Abundance of Katherines,2006,young adult fiction,y,215,,,,,7
Green,John,Paper Towns,2008,fiction,y,305,,,,,6
Green,John,The Fault in Our Stars,2012,young adult fiction,y,316,,,,,8
Green,John,Turtles All The Way Down,2017,fiction,y,286,,,,,7
Green,Hank,An Absolutely Remarkable Thing,2018,science fiction,y,343,y,,,,7
Green,John,The Anthropocene Reviewed,2021,non-fiction,y,293,y,,,,9
"Green, Levithan","John, David","Will Grayson, Will Grayson",2010,young adult fiction,y,310,,,,,6
Greenwood,Bryn,All the Ugly and Wonderful Things,2016,historical fiction,n,344,y,,,,
Greer,Sierra,Annie Bot,2024,science fiction,n,231,y,,,y,
Grossman,Lev,The Bright Sword,2024,historical fiction,n,673,,y,,y,
Gyasi,Yaa,Homegoing,2016,fiction,y,305,,,,,10
Gyasi,Yaa,Transcendent Kingdom,2020,fiction,y,290,,,,,9
Habeck,Emily,Shark Heart,2023,magical realism,y,405,y,,,,10
Hahn,Robert A.,Anthropology in Public Health: Bridging Differences in Culture and Society,1999,anthropology,n,384,,,,y,
Haig,Matt,The Impossible Life,2024,fiction,n,324,y,,,y,
Haig,Matt,The Midnight Library,2020,fantasy,y,288,,,,,7
Hamid,Mohsin,Exit West,2017,fiction,y,231,y,,,,
Hamilton,Edith,Mythology: Timeless Tales of Gods and Heroes,1942,non-fiction,n,352,,,,,
Hammond,Mitchell L.,Epidemics and the Modern World,2020,history,y,519,,,,,
Handler,Chelsea,Chelsea Chelsea Bang Bang,2010,memoir,y,244,,,,,5
Hannah,Kristin,The Nightingale,2015,historical fiction,n,438,,,,,
Harari,Yuval Noah,Homo Deus: A Brief History of Tomorrow,2017,non-fiction,dnf,448,,,,,
Harari,Yuval Noah,Sapiens: A Brief History of Humankind,2014,non-fiction,n,450,,,,,
Harris,Anstey,"Goodbye, Paris",2018,fiction,n,279,y,,,,
Harrison,Rachel,So Thirsty,2024,fantasy,n,290,,y,,y,
Harrow,Alix E.,Starling House,2023,fantasy,dnf,308,y,,,y,
Hawkins,Paula,The Girl on the Train,2015,thriller,y,323,,,,,7
Hawthorne,Nathaniel,The Scarlet Letter,1850,fiction,y,247,,,,,8
Hays,Katy,The Cloisters,2022,fiction,y,297,,,,,3
Hazell,Lottie,Piglet,2024,fiction,y,309,,y,,,8
Hazelwood,Ali,The Love Hypothesis,2021,fiction,y,356,y,,,,9
Hazelwood,Ali,Love on the Brain,2022,fiction,y,354,y,,,,8
Hazelwood,Ali,"Love, Theoretically",2023,fiction,y,406,,,,,9
Hazelwood,Ali,Check & Mate,2023,fiction,y,369,y,,,,7
Hazelwood,Ali,Not in Love,2024,fiction,y,384,,,,,6
Hazelwood,Ali,Bride,2024,fantasy,y,406,,,,,7
Heller,Joseph,Catch-22,1955,fiction,n,521,,,,y,
Hempel,Sandra,The Atlas of Disease: Mapping Deadly Epidemics and Contagion from the Plague to the Coronavirus,2018,reference,n,224,,,,,
"Hendricks, Pekkanen","Greer, Sarah",The Wife Between Us,2017,fiction,y,346,y,,,,3
Henry,Emily,A Million Junes,2017,fantasy,n,391,y,,,,
Henry,Emily,Beach Read,2020,fiction,y,361,y,,,,6
Hepola,Sarah,Blackout: Remembering the Things I Drank to Forget,2015,memoir,y,239,,,,,6
Herbert,Frank,Dune,1965,science fiction,dnf,687,,,,y,
"Herring, Swedlund","D. Ann, Alan C.",Human Biologists in the Archives,2003,anthropology,y,341,,,,,8
Hessler,Peter,The Buried: An Archaeology of the Egyptian Revolution,2019,non-fiction,n,463,y,,,,
Hiaasen,Carl,Hoot,2002,fiction,y,292,,,,,7
Hill,Nathan,Wellness,2023,fiction,y,597,y,,,,10
Hoang,Helen,The Kiss Quotient,2018,fiction,y,317,y,,,,7
Hodgson,Marshall G.S.,The Venture of Islam: Conscience and History in a World Civilization: The Gunpowder Empires and Modern Times,1974,history,dnf,469,,,,,
Hoffman,Alice,The Rules of Magic,2017,fantasy,n,367,y,,,,
Hoffman,Alice,The Invisible Hour,2023,fantasy,y,252,y,,,,5
Holland,Jacqueline,The God of Endings,2023,fantasy,n,466,,,,y,
Holland,Lucy,Song of the Huntress,2024,fantasy,n,424,,,,y,
Hollingsworth,T.H.,Historical Demography,1969,demography,n,448,,,,y,
Holmes,Seth M.,"Fresh Fruit, Broken Bodies: Migrant Farmworkers in the United States",2013,anthropology,y,234,,,,,7
Hoover,Colleen,Verity,2018,fiction,y,323,,,,,5
House,Edgar,Light at Last: Triumph over Tuberculosis in Newfoundland and Labrador 1900-1975,1981,history,y,242,,,,,8
Huchu,T.L.,The Library of the Dead,2021,fantasy,n,330,,,,y,
Huchu,T.L.,Our Lady of Mysterious Ailments,2022,fantasy,n,357,,,,,
Hugo,Victor,Les Misérables,1862,fiction,n,1232,,,,y,
Hugo,Victor,Les Misérables (Abridged),1961,fiction,n,400,,,,,
Hugo,Victor,The Hunchback of Notre Dame,1831,fiction,y,363,,,,,8
Ibañez,Isabel,What the River Knows,2023,fiction,y,494,y,,,,9
Irving,John,The Cider House Rules,1985,fiction,n,559,,,,,
Ishiguro,Kazuo,The Buried Giant,2015,science fiction,n,317,,,,y,
Ishiguro,Kazuo,Klara and the Sun,2021,science fiction,n,303,,,,y,
Ishiguro,Kazuo,The Remains of the Day,1989,historical fiction,y,213,y,,,,10
Ishiguro,Kazuo,Never Let Me Go,2005,science fiction,y,288,,,,,9
James,Erica Caple,"Democratic Insecurities: Violence, Trauma, and Intervention in Haiti",2010,anthropology,y,357,,,,,8
James,E.L.,Fifty Shades of Grey,2011,fiction,y,514,,,,,3
James,Miranda,Six Cats a Slayin',2018,fiction,y,296,,,,,6
Jameson,Fredric,"Postmodernism, or, the Cultural Logic of Late Capitalism",1991,social science,n,437,,,,,
Jarvis,Nicole,The Lights of Prague,2021,fantasy,n,413,,,,y,
Jarvis,Nicole,A Portrait in Shadow,2023,historical fiction,n,476,,,,y,
